time_fs,T_md_K,T_ww_K,DeltaT_K
0.0000000000,149.5411866700,148.0559945800,1.4851920900
50.0000000000,157.5625616000,151.1827654200,6.3797961800
100.0000000000,152.0023263500,148.5085581600,3.4937681900
150.0000000000,150.4092964900,120.3027374500,30.1065590400
200.0000000000,148.4624441700,150.4420013100,-1.9795571400
250.0000000000,152.5030607300,186.6860744500,-34.1830137200
300.0000000000,151.9409585800,139.9072038500,12.0337547300
350.0000000000,151.3021332500,126.7250274600,24.5771057900
400.0000000000,147.7535540100,137.6247033300,10.1288506800
450.0000000000,198.3498118200,251.4293938800,-53.0795820600
500.0000000000,199.4925985400,238.2589970400,-38.7663985000
550.0000000000,197.8755220300,154.3400231500,43.5354988800
600.0000000000,201.5955602400,209.3529808300,-7.7574205900
650.0000000000,197.7759220400,233.8512967000,-36.0753746600
700.0000000000,199.4357774800,186.0622157700,13.3735617100
750.0000000000,198.6389456100,194.4315772300,4.2073683800
800.0000000000,200.5250546700,189.2080363000,11.3170183700
850.0000000000,246.4647836400,295.7478796900,-49.2830960500
900.0000000000,251.4845629500,241.9736214500,9.5109415000
950.0000000000,248.1734079800,227.0464154100,21.1269925700
1000.0000000000,253.4699385100,287.2395252700,-33.7695867600
1050.0000000000,249.5018205300,238.3998214100,11.1019991200
1100.0000000000,250.0231925200,230.2197692900,19.8034232300
1150.0000000000,254.5454259300,252.3231725700,2.2222533600
1200.0000000000,249.6856534600,277.7363526300,-28.0506991700
1250.0000000000,295.5778133000,298.1777238400,-2.5999105400
1300.0000000000,306.1810961000,307.9654811700,-1.7843850700
1350.0000000000,302.9075115600,282.4106160100,20.4968955500
1400.0000000000,300.7894980300,328.1406499900,-27.3511519600
1450.0000000000,303.0240493500,289.2095713000,13.8144780500
1500.0000000000,300.2206354400,289.2205097000,11.0001257400
1550.0000000000,298.7240749600,291.3949808400,7.3290941200
1600.0000000000,300.3204685000,294.6107576800,5.7097108200
1650.0000000000,324.3713350300,310.9230840100,13.4482510200
1700.0000000000,355.2852313000,387.9490534400,-32.6638221400
1750.0000000000,349.0819991000,354.3891260100,-5.3071269100
1800.0000000000,355.2275173100,330.5768759000,24.6506414100
1850.0000000000,350.6597584000,350.7385446900,-0.0787862900
1900.0000000000,347.9547829300,382.2708523900,-34.3160694600
1950.0000000000,350.2408633700,326.6208456400,23.6200177300
2000.0000000000,348.3427293300,345.3732094200,2.9695199100
2050.0000000000,349.6253103400,346.7940759600,2.8312343800
2100.0000000000,344.3201434700,345.5154797700,-1.1953363000
2150.0000000000,395.4412170400,447.8957724600,-52.4545554200
2200.0000000000,395.9706015900,410.7945605400,-14.8239589500
2250.0000000000,394.5601084900,386.1441919600,8.4159165300
2300.0000000000,399.4843510500,388.5086263500,10.9757247000
2350.0000000000,391.2033482600,414.7203750600,-23.5170268000
2400.0000000000,399.1880722400,401.6472870000,-2.4592147600
2450.0000000000,404.3207328400,397.3310804600,6.9896523800
2500.0000000000,401.9811691200,394.6644189800,7.3167501400
2550.0000000000,408.8361839000,404.8394568800,3.9967270200
2600.0000000000,446.6502661200,427.2740867300,19.3761793900
2650.0000000000,449.1983767900,449.6988047200,-0.5004279300
2700.0000000000,449.3426967700,454.1278737300,-4.7851769600
2750.0000000000,445.8290454400,456.5591741200,-10.7301286800
2800.0000000000,454.9252963400,436.2673487700,18.6579475700
2850.0000000000,438.4014076400,452.0081564800,-13.6067488400
2900.0000000000,442.6467774900,453.5535702200,-10.9067927300
2950.0000000000,447.1906174700,456.3336279500,-9.1430104800
3000.0000000000,443.8266623500,448.6007256400,-4.7740632900
3050.0000000000,458.8675803800,442.0507833200,16.8167970600
3100.0000000000,443.7111682500,449.4015990800,-5.6904308300
3150.0000000000,494.7240231700,535.0591240900,-40.3351009200
3200.0000000000,505.3167674000,512.3980540600,-7.0812866600
3250.0000000000,500.0644418700,503.7515382800,-3.6870964100
3300.0000000000,501.8512227100,492.5824881500,9.2687345600
3350.0000000000,505.5098533200,493.6387590200,11.8710943000
3400.0000000000,500.1054471400,507.6049942000,-7.4995470600
3450.0000000000,500.5715571800,506.9788360100,-6.4072788300
3500.0000000000,490.1614964100,498.5264228500,-8.3649264400
3550.0000000000,498.6106055400,491.5463166900,7.0642888500
3600.0000000000,495.4301096800,488.0351837800,7.3949259000
3650.0000000000,508.3776947300,509.6581060400,-1.2804113100
3700.0000000000,546.2812679000,590.1945369400,-43.9132690400
3750.0000000000,545.4652298400,545.3084998500,0.1567299900
3800.0000000000,547.0960924100,517.0904845200,30.0056078900
3850.0000000000,549.0182764000,542.2925911300,6.7256852700
